Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-05-02 05:24:54,"A1",50min,"Bent Over Row (Barbell)",1,20.41165665,15,0,0,"","Add 5lbs to Bench, Row every other workout \nAdd 5lbs to Squat \nLast set AMRAP",
2022-05-02 05:24:54,"A1",50min,"Bent Over Row (Barbell)",2,29.48350405,10,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Bent Over Row (Barbell)",3,38.55535145,5,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Bent Over Row (Barbell)",4,38.55535145,5,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Bent Over Row (Barbell)",5,38.55535145,12,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Squat (Barbell)",1,20.41165665,10,0,0,"",,
2022-05-02 05:24:54,"A1",50min,"Squat (Barbell)",2,34.01942775,10,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Squat (Barbell)",3,43.09127515,5,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Squat (Barbell)",4,43.09127515,5,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Squat (Barbell)",5,43.09127515,7,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Bench Press (Barbell)",1,29.48350405,12,0,0,"",,
2022-05-02 05:24:54,"A1",50min,"Bench Press (Barbell)",2,38.55535145,10,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Bench Press (Barbell)",3,49.895160700000005,5,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Bench Press (Barbell)",4,49.895160700000005,5,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Bench Press (Barbell)",5,49.895160700000005,8,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Bicep Curl (Dumbbell)",1,9.071847400000001,8,0,0,"",,
2022-05-02 05:24:54,"A1",50min,"Bicep Curl (Dumbbell)",2,6.80388555,10,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Bicep Curl (Dumbbell)",3,6.80388555,12,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Triceps Pushdown (Cable - Straight Bar)",1,14.968548210000002,8,0,0,"",,
2022-05-02 05:24:54,"A1",50min,"Triceps Pushdown (Cable - Straight Bar)",2,14.968548210000002,10,0,0,,,
2022-05-02 05:24:54,"A1",50min,"Triceps Pushdown (Cable - Straight Bar)",3,9.979032140000001,12,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Chin Up",1,0,6,0,0,"","Add 5lbs to OHP, Chin-up every other workout\nAdd 5lbs to Deadlift",
2022-05-04 20:43:10,"B1",40min,"Chin Up",2,0,5,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Chin Up",3,0,5,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Chin Up",4,0,7,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Chest Dip",1,0,5,0,0,"",,
2022-05-04 20:43:10,"B1",40min,"Chest Dip",2,0,5,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Overhead Press (Barbell)",1,20.41165665,11,0,0,"",,
2022-05-04 20:43:10,"B1",40min,"Overhead Press (Barbell)",2,24.947580350000003,10,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Overhead Press (Barbell)",3,34.01942775,3,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Overhead Press (Barbell)",4,29.48350405,5,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Overhead Press (Barbell)",5,29.48350405,5,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Deadlift (Barbell)",1,29.48350405,11,0,0,"",,
2022-05-04 20:43:10,"B1",40min,"Deadlift (Barbell)",2,34.01942775,10,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Deadlift (Barbell)",3,43.09127515,5,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Deadlift (Barbell)",4,43.09127515,5,0,0,,,
2022-05-04 20:43:10,"B1",40min,"Deadlift (Barbell)",5,43.09127515,8,0,0,,,
2022-05-06 05:12:34,"A1",31min,"Bent Over Row (Barbell)",1,20.41165665,15,0,0,"","Add 5lbs to Bench, Row every other workout \nAdd 5lbs to Squat \nLast set AMRAP",
2022-05-06 05:12:34,"A1",31min,"Bent Over Row (Barbell)",2,29.48350405,12,0,0,,,
2022-05-06 05:12:34,"A1",31min,"Bent Over Row (Barbell)",3,43.09127515,5,0,0,,,
2022-05-06 05:12:34,"A1",31min,"Bent Over Row (Barbell)",4,43.09127515,6,0,0,,,
2022-05-06 05:12:34,"A1",31min,"Bent Over Row (Barbell)",5,43.09127515,10,0,0,,,
2022-05-08 04:22:15,"B1",1h 7min,"Overhead Press (Barbell)",1,20.41165665,12,0,0,"","Add 5lbs to OHP, Chin-up every other workout\nAdd 5lbs to Deadlift",
2022-05-08 04:22:15,"B1",1h 7min,"Overhead Press (Barbell)",2,24.947580350000003,10,0,0,,,
2022-05-08 04:22:15,"B1",1h 7min,"Overhead Press (Barbell)",3,34.01942775,5,0,0,,,
2022-05-08 04:22:15,"B1",1h 7min,"Overhead Press (Barbell)",4,29.48350405,7,0,0,,,
2022-05-08 04:22:15,"B1",1h 7min,"Overhead Press (Barbell)",5,27.2155422,10,0,0,,,
2022-05-08 04:22:15,"B1",1h 7min,"Pull Up",1,0,5,0,0,"",,
